hang_xe,dong_xe,nam_san_xuat,so_km,nhien_lieu,hop_so,xuat_xu,gia
Mercedes,E-Class,2022,18000,Xăng,Tự động,Nhập khẩu,2450
Mercedes,E-Class,2021,32000,Xăng,Tự động,Nhập khẩu,2200
Mercedes,E-Class,2020,48000,Xăng,Tự động,Nhập khẩu,1950
Mercedes,E-Class,2019,63000,Xăng,Tự động,Nhập khẩu,1720
Mercedes,GLC,2023,9000,Xăng,Tự động,Nhập khẩu,2100
Mercedes,GLC,2022,22000,Xăng,Tự động,Nhập khẩu,1900
Mercedes,GLC,2021,38000,Xăng,Tự động,Nhập khẩu,1700
Mercedes,GLC,2020,54000,Xăng,Tự động,Nhập khẩu,1500
Mercedes,GLC,2019,70000,Dầu,Tự động,Nhập khẩu,1320
BMW,Series 3,2023,7000,Xăng,Tự động,Nhập khẩu,1750
BMW,Series 3,2022,19000,Xăng,Tự động,Nhập khẩu,1580
BMW,Series 3,2021,33000,Xăng,Tự động,Nhập khẩu,1420
BMW,Series 3,2020,48000,Xăng,Tự động,Nhập khẩu,1270
BMW,Series 3,2019,63000,Xăng,Tự động,Nhập khẩu,1120
BMW,Series 5,2023,6000,Xăng,Tự động,Nhập khẩu,2650
BMW,Series 5,2022,18000,Xăng,Tự động,Nhập khẩu,2380
BMW,Series 5,2021,32000,Xăng,Tự động,Nhập khẩu,2120
BMW,Series 5,2020,47000,Xăng,Tự động,Nhập khẩu,1880
BMW,X3,2023,8000,Xăng,Tự động,Nhập khẩu,2100
BMW,X3,2022,21000,Xăng,Tự động,Nhập khẩu,1900
BMW,X3,2021,36000,Xăng,Tự động,Nhập khẩu,1700
BMW,X3,2020,52000,Dầu,Tự động,Nhập khẩu,1500
BMW,X5,2023,7000,Xăng,Tự động,Nhập khẩu,3600
BMW,X5,2022,19000,Xăng,Tự động,Nhập khẩu,3250
BMW,X5,2021,34000,Dầu,Tự động,Nhập khẩu,2900
BMW,X5,2020,50000,Dầu,Tự động,Nhập khẩu,2580
Mitsubishi,Xpander,2023,6000,Xăng,Tự động,Lắp ráp trong nước,630
Mitsubishi,Xpander,2022,18000,Xăng,Tự động,Lắp ráp trong nước,570
Mitsubishi,Xpander,2021,32000,Xăng,Tự động,Lắp ráp trong nước,510
Mitsubishi,Xpander,2020,46000,Xăng,Tự động,Lắp ráp trong nước,460
Mitsubishi,Xpander,2019,60000,Xăng,Số sàn,Nhập khẩu,410
Mitsubishi,Outlander,2023,7000,Xăng,Tự động,Lắp ráp trong nước,950
Mitsubishi,Outlander,2022,20000,Xăng,Tự động,Lắp ráp trong nước,870
Mitsubishi,Outlander,2021,35000,Xăng,Tự động,Lắp ráp trong nước,790
Mitsubishi,Outlander,2020,50000,Xăng,Tự động,Lắp ráp trong nước,710
Mitsubishi,Pajero Sport,2023,9000,Dầu,Tự động,Nhập khẩu,1150
Mitsubishi,Pajero Sport,2022,23000,Dầu,Tự động,Nhập khẩu,1050
Mitsubishi,Pajero Sport,2021,38000,Dầu,Tự động,Nhập khẩu,950
Mitsubishi,Attrage,2023,4000,Xăng,Tự động,Nhập khẩu,430
Mitsubishi,Attrage,2022,16000,Xăng,Tự động,Nhập khẩu,390
Mitsubishi,Attrage,2021,28000,Xăng,Số sàn,Nhập khẩu,340
Nissan,Almera,2023,5000,Xăng,Tự động,Lắp ráp trong nước,510
Nissan,Almera,2022,17000,Xăng,Tự động,Lắp ráp trong nước,460
Nissan,Almera,2021,30000,Xăng,Tự động,Lắp ráp trong nước,410
Nissan,X-Trail,2023,8000,Xăng,Tự động,Nhập khẩu,950
Nissan,X-Trail,2022,22000,Xăng,Tự động,Nhập khẩu,860
Nissan,X-Trail,2021,38000,Xăng,Tự động,Nhập khẩu,780
Nissan,Navara,2023,10000,Dầu,Tự động,Nhập khẩu,780
Nissan,Navara,2022,24000,Dầu,Tự động,Nhập khẩu,710
Nissan,Navara,2021,40000,Dầu,Số sàn,Nhập khẩu,640
Nissan,Navara,2020,55000,Dầu,Số sàn,Nhập khẩu,570
Peugeot,3008,2023,7000,Xăng,Tự động,Lắp ráp trong nước,1150
Peugeot,3008,2022,20000,Xăng,Tự động,Lắp ráp trong nước,1030
Peugeot,3008,2021,35000,Xăng,Tự động,Lắp ráp trong nước,910
Peugeot,3008,2020,50000,Xăng,Tự động,Nhập khẩu,790
Peugeot,5008,2023,8000,Xăng,Tự động,Lắp ráp trong nước,1320
Peugeot,5008,2022,22000,Xăng,Tự động,Lắp ráp trong nước,1180
Peugeot,5008,2021,37000,Xăng,Tự động,Lắp ráp trong nước,1050
Peugeot,2008,2023,5000,Xăng,Tự động,Nhập khẩu,820
Peugeot,2008,2022,17000,Xăng,Tự động,Nhập khẩu,740
Suzuki,XL7,2023,5000,Xăng,Tự động,Nhập khẩu,600
Suzuki,XL7,2022,18000,Xăng,Tự động,Nhập khẩu,540
Suzuki,XL7,2021,30000,Xăng,Tự động,Nhập khẩu,480
Suzuki,Ertiga,2023,4000,Xăng,Tự động,Nhập khẩu,530
Suzuki,Ertiga,2022,16000,Xăng,Tự động,Nhập khẩu,480
Suzuki,Ertiga,2021,28000,Xăng,Tự động,Nhập khẩu,430
Suzuki,Ertiga,2020,42000,Xăng,Số sàn,Nhập khẩu,380
Suzuki,Swift,2023,3000,Xăng,Tự động,Nhập khẩu,550
Suzuki,Swift,2022,15000,Xăng,Tự động,Nhập khẩu,500
Suzuki,Ciaz,2021,25000,Xăng,Tự động,Nhập khẩu,440
Suzuki,Ciaz,2020,38000,Xăng,Tự động,Nhập khẩu,390
Toyota,Raize,2023,5000,Xăng,Tự động,Lắp ráp trong nước,530
Toyota,Raize,2022,18000,Xăng,Tự động,Lắp ráp trong nước,480
Toyota,Veloz Cross,2023,6000,Xăng,Tự động,Lắp ráp trong nước,670
Toyota,Veloz Cross,2022,19000,Xăng,Tự động,Lắp ráp trong nước,610
Toyota,Avanza Premio,2023,5000,Xăng,Tự động,Lắp ráp trong nước,580
Toyota,Avanza Premio,2022,17000,Xăng,Tự động,Lắp ráp trong nước,530
Hyundai,i10,2023,4000,Xăng,Tự động,Lắp ráp trong nước,420
Hyundai,i10,2022,15000,Xăng,Tự động,Lắp ráp trong nước,380
Hyundai,i10,2021,28000,Xăng,Số sàn,Lắp ráp trong nước,330
Hyundai,i10,2020,40000,Xăng,Số sàn,Lắp ráp trong nước,290
Hyundai,i10,2019,54000,Xăng,Số sàn,Lắp ráp trong nước,255
Hyundai,Elantra,2023,6000,Xăng,Tự động,Lắp ráp trong nước,730
Hyundai,Elantra,2022,18000,Xăng,Tự động,Lắp ráp trong nước,660
Hyundai,Elantra,2021,32000,Xăng,Tự động,Lắp ráp trong nước,600
Hyundai,Elantra,2020,48000,Xăng,Tự động,Lắp ráp trong nước,540
Hyundai,Custin,2024,3000,Xăng,Tự động,Lắp ráp trong nước,850
Hyundai,Custin,2023,12000,Xăng,Tự động,Lắp ráp trong nước,780
Toyota,Innova Cross,2024,4000,Hybrid,Tự động,Lắp ráp trong nước,990
Toyota,Innova Cross,2023,15000,Hybrid,Tự động,Lắp ráp trong nước,920
Toyota,Yaris Cross,2024,3000,Hybrid,Tự động,Nhập khẩu,830
Toyota,Yaris Cross,2023,12000,Xăng,Tự động,Nhập khẩu,740
Honda,Accord,2023,8000,Xăng,Tự động,Nhập khẩu,1350
Honda,Accord,2022,20000,Xăng,Tự động,Nhập khẩu,1220
Honda,Accord,2021,34000,Xăng,Tự động,Nhập khẩu,1100
Honda,Accord,2020,50000,Xăng,Tự động,Nhập khẩu,980
Honda,BR-V,2023,5000,Xăng,Tự động,Lắp ráp trong nước,650
Honda,BR-V,2022,18000,Xăng,Tự động,Lắp ráp trong nước,590
Mercedes,S-Class,2023,6000,Xăng,Tự động,Nhập khẩu,5200
Mercedes,S-Class,2022,16000,Xăng,Tự động,Nhập khẩu,4700
Mercedes,S-Class,2021,28000,Xăng,Tự động,Nhập khẩu,4200
Mercedes,GLE,2023,8000,Dầu,Tự động,Nhập khẩu,4100
Mercedes,GLE,2022,20000,Dầu,Tự động,Nhập khẩu,3700
Mercedes,GLE,2021,35000,Dầu,Tự động,Nhập khẩu,3300
BMW,X1,2023,6000,Xăng,Tự động,Nhập khẩu,1750
BMW,X1,2022,18000,Xăng,Tự động,Nhập khẩu,1580
BMW,X1,2021,32000,Xăng,Tự động,Nhập khẩu,1400
Audi,A4,2023,7000,Xăng,Tự động,Nhập khẩu,1900
Audi,A4,2022,19000,Xăng,Tự động,Nhập khẩu,1720
Audi,A4,2021,33000,Xăng,Tự động,Nhập khẩu,1540
Audi,Q5,2023,8000,Xăng,Tự động,Nhập khẩu,2500
Audi,Q5,2022,21000,Xăng,Tự động,Nhập khẩu,2260
Audi,Q5,2021,36000,Xăng,Tự động,Nhập khẩu,2030
Audi,Q7,2023,7000,Dầu,Tự động,Nhập khẩu,3800
Audi,Q7,2022,19000,Dầu,Tự động,Nhập khẩu,3450
Audi,Q7,2021,34000,Dầu,Tự động,Nhập khẩu,3100
Lexus,RX,2023,6000,Xăng,Tự động,Nhập khẩu,3500
Lexus,RX,2022,18000,Xăng,Tự động,Nhập khẩu,3150
Lexus,RX,2021,32000,Xăng,Tự động,Nhập khẩu,2800
Lexus,NX,2023,5000,Xăng,Tự động,Nhập khẩu,2650
Lexus,NX,2022,17000,Xăng,Tự động,Nhập khẩu,2400
Lexus,ES,2023,7000,Xăng,Tự động,Nhập khẩu,2900
Lexus,ES,2022,18000,Xăng,Tự động,Nhập khẩu,2620
Volvo,XC60,2023,6000,Xăng,Tự động,Nhập khẩu,2300
Volvo,XC60,2022,19000,Xăng,Tự động,Nhập khẩu,2080
Volvo,XC60,2021,33000,Dầu,Tự động,Nhập khẩu,1860
Volvo,XC90,2023,7000,Xăng,Tự động,Nhập khẩu,3700
Volvo,XC90,2022,18000,Xăng,Tự động,Nhập khẩu,3350
MG,5,2023,4000,Xăng,Tự động,Nhập khẩu,520
MG,5,2022,16000,Xăng,Tự động,Nhập khẩu,460
MG,ZS,2023,5000,Xăng,Tự động,Nhập khẩu,580
MG,ZS,2022,18000,Xăng,Tự động,Nhập khẩu,520
MG,HS,2023,6000,Xăng,Tự động,Nhập khẩu,750
MG,HS,2022,19000,Xăng,Tự động,Nhập khẩu,680
Isuzu,D-Max,2023,10000,Dầu,Tự động,Nhập khẩu,680
Isuzu,D-Max,2022,24000,Dầu,Tự động,Nhập khẩu,620
Isuzu,D-Max,2021,38000,Dầu,Số sàn,Nhập khẩu,550
Isuzu,mu-X,2023,8000,Dầu,Tự động,Nhập khẩu,880
Isuzu,mu-X,2022,22000,Dầu,Tự động,Nhập khẩu,800
Isuzu,mu-X,2021,36000,Dầu,Tự động,Nhập khẩu,720
Toyota,Hilux,2023,10000,Dầu,Tự động,Nhập khẩu,850
Toyota,Hilux,2022,25000,Dầu,Tự động,Nhập khẩu,780
Toyota,Hilux,2021,40000,Dầu,Số sàn,Nhập khẩu,690
Toyota,Hilux,2020,55000,Dầu,Số sàn,Nhập khẩu,610
Chevrolet,Trailblazer,2019,65000,Dầu,Tự động,Nhập khẩu,620
Chevrolet,Trailblazer,2018,80000,Dầu,Tự động,Nhập khẩu,540
Chevrolet,Colorado,2019,60000,Dầu,Tự động,Nhập khẩu,560
Chevrolet,Colorado,2018,75000,Dầu,Số sàn,Nhập khẩu,480
